序号,板块名称,2015/1/30,2015/2/27,2015/3/31,2015/4/30,2015/5/29,2015/6/30,2015/7/31,2015/8/31,2015/9/30,2015/10/30,2015/11/30,2015/12/31,2016/1/29,2016/2/29,2016/3/31,2016/4/29,2016/5/31,2016/6/30,2016/7/29,2016/8/31,2016/9/30
1,SW冰箱,14.27,14.63,17.94,19.05,21.12,21.08,10.8,9.59,8.75,9.74,11.51,10.85,9.67,7.81,9.09,8.93,9.45,9.31,11.12,11.02,10.98
2,SW空调,32,32.89,35.06,42.33,44.75,45.4,26.02,21.86,19.21,21.05,21.27,25.85,21.45,21.27,23.29,23.23,19.42,20.62,22.12,21.84,23.67
3,SW洗衣机,14.76,14.63,16.28,18.32,18.87,19.51,18.06,17.15,16.6,17.69,17.79,18.35,14.82,14.06,17.37,19.45,20.57,21.54,23.41,22.51,21.14
4,SW小家电,17.6,18.89,22.3,26.4,31.64,24.14,24.19,19.84,19.02,23.1,25.18,26.76,19.49,19.12,22.29,24.27,21.3,21.28,22.24,21.85,21.99
5,SW彩电,5.81,6.6,7.67,8.9,10.04,9.69,8.17,7.31,5.41,6.23,6.11,6.72,4.95,4.92,5.47,5.21,5.43,5.45,5.47,5.48,5.35
6,SW其它视听器材,17.45,19.75,24.6,23.63,26.48,21.68,18.84,16.23,14.47,16.97,18.3,18.73,13.61,13.99,18.62,17.27,17.61,15.26,15.02,15.22,15.72
7,SW男装,11.57,12.76,15.52,16.63,18.78,17.47,14.7,13.46,12.55,14.72,14.92,15.68,11.4,11.51,12.48,12.2,12.15,11.86,12.46,12.39,12.15
8,SW女装,20.23,22.38,26.84,32.84,47.16,39.62,33.12,28.56,22.92,31.11,39.52,43.04,34.65,33.95,38.49,38.47,30.94,25.11,24.1,24.42,24.82
9,SW鞋帽,12.9,13.48,16.59,18.42,26.65,25.5,29.11,20.05,19.95,23.82,26.84,27.51,18.24,18.63,20.39,20.34,19.68,19.7,21.95,22.37,21.62
10,SW家纺,16.63,17.62,21.11,28.85,20.38,15.09,14.11,12.37,11.3,13.92,13.52,14.93,9.92,9.53,11.26,11.63,10.86,11.6,11.67,12.15,11.73
11,SW其他服装,9.57,10.21,11.82,13.85,17.45,19.18,19.05,18.35,14.91,17.72,19.4,19.72,13.81,14.02,16.03,14.74,13.97,13.62,13.74,14.74,14.77
12,SW家具,11.64,13.43,16.82,20.32,27.46,25.53,24.13,21.6,15.05,16.44,19.64,19.58,13.75,13.37,15.26,14.78,14.43,15.8,15.89,16.49,16.65
13,SW其他家用轻工,10.79,11.8,15.12,16.72,21.88,18.17,15.41,14.23,13.15,14.68,15.92,19.59,14.53,13.91,17.63,17.02,15.41,17.02,17.38,18.09,18.02
14,SW珠宝首饰,18.23,19.1,22.26,26.92,34.18,34.07,29.54,27.89,24.21,19.8,20.45,22.35,15.06,14.89,17,16.35,14.94,15.78,16.34,16.24,16.1
15,SW文娱用品,13,15.22,16.82,16.82,22.67,21.68,19.58,18.47,18.09,20,18.55,21.87,14.87,14.31,16.97,16.65,13.96,13.84,13.83,14.35,14.49
16,SW白酒,40.01,41.34,43.66,51.72,51.76,51.78,45.51,41.78,40.3,44.16,44.18,47.36,40.5,40.82,47.91,48.47,48.35,52.14,54.95,53.98,51.5
17,SW啤酒,16.8,16.72,18.64,20.59,23.29,21.97,17.42,14.67,14.1,16.11,15.3,16.44,13.02,12.65,13.94,14.04,14.3,13.93,14.03,14.47,14.99
18,SW软饮料,10.07,10.08,11.8,13.38,15.27,13.29,10.56,8.41,8.09,9.95,10.47,11.99,8.35,8.34,9.47,10.35,9.59,9.91,9.84,11.13,11.63
19,SW葡萄酒,12.78,13.19,15.35,17.89,20.53,21.88,16.39,14.61,14.37,13.99,15.85,17.18,12.41,11.12,12.95,13.87,12.9,14.44,15.4,14.54,13.79
20,SW黄酒,10.04,10.23,12.38,13.89,14.75,16.3,11.78,9.78,9.4,11.1,10.88,12.09,9.04,8.69,10.15,10.08,10.15,11.16,11.13,11.67,11.08
21,SW调味发酵品,15.54,16.2,17.68,18.22,19.77,18.12,17.5,16.83,14.43,14.96,15.84,17.03,13.22,12.67,14.59,14.35,13.95,13.76,14.19,14.35,13.71
22,SW乳品,21.41,21.14,23.48,26.01,20.98,20.12,18.3,15.43,14.42,16.15,15.44,16.82,12.59,12.14,13.98,13.58,14.03,14.84,15.97,15.41,14.76
23,SW食品综合,19.67,21.89,27.98,26.98,31.53,26.04,21.47,20.62,18.57,19.1,19.7,21.62,16.25,15.36,18.12,15.47,15.15,14.44,14.19,14.2,13.96
